关注人数,区域,单价,小区,已发布日,建成年份,建筑结构,总价,户型_厅,户型_室,朝向,标题,楼层,满二,满五,装修,近地铁,面积
19,牡丹园,99403,牡丹园西里 ,360,1995,塔楼,499,1,1,南,牡丹园 精装全明带电梯南向大一居 95年房龄,中楼层(共16层),False,True,精装,True,50.2
66,军博,83871,会城门小区 ,30,1985,板楼,520,1,3,南 北,会城门小区 低楼层南北小三居 安静不临街 看房随时,中楼层(共5层),True,False,简装,True,62
160,海淀北部新区,43134,老年医院家属楼 ,360,1976,板楼,245,1,3,东 南 北,老年家属楼 南北东三面通透 二层,中楼层(共4层),True,False,简装,False,56.8
36,小西天,83070,文慧园北路甲6号院 ,360,1996,板楼,840,2,2,东北,文慧园北路甲6号院 中国进出口银行分房 满五年唯一,中楼层(共7层),False,True,简装,False,101.12
119,牡丹园,96675,塔院小区 ,60,1989,板塔结合,785,1,3,南 北,牡丹园塔院小区晴冬园电梯直达无抵押可望西山,中楼层(共18层),False,True,精装,False,81.2
5,军博,97239,博望园 ,7,2002,塔楼,852,1,2,西,满五年唯一 电梯好房 两室一厅格局方正,中楼层(共16层),False,True,精装,True,87.62
66,军博,91760,铁东小区 ,120,1990,塔楼,412,1,1,南,电梯一居室 全南向 全民格局 高楼层无遮挡户型方正,高楼层(共16层),False,False,简装,True,44.9
17,小西天,77778,红联北村 ,7,1993,塔楼,630,1,3,东北,西直门红联北村 带客厅三居 93年电梯房 业主诚售,高楼层(共16层),False,True,简装,False,81
8,清河,77411,观林园 ,7,2011,板楼,1100,1,3,南 北,观林园 三室 六层板楼 次顶层 带电梯 精装修,高楼层(共6层),False,True,精装,False,142.1
2,五棵松,87738,金沟河2号院 ,5,1979,板楼,415,1,2,南,金沟河2号院  双南两居室   一层带小院 户型方正,底层(共5层),False,True,简装,True,47.3
7,清河,69536,清润家园 ,4,2010,塔楼,698,1,3,东南,2011年精装三居室，满五年唯一，东南向，商品房,中楼层(共20层),False,True,精装,True,100.38
52,五棵松,66407,永金里小区 ,360,1998,板塔结合,835,2,3,南 西 北,永金里小区，正南北通透三居，客厅朝西带正规阳台,低楼层(共12层),False,True,简装,False,125.74
7,紫竹桥,93473,北无宿舍 ,7,1995,板楼,600,1,2,南 北,紫竹桥 北无宿舍 满五唯一 两居室,低楼层(共6层),False,True,简装,True,64.19
120,西三旗,70493,金隅翡丽一期 ,360,2012,板楼,1350,2,4,东 南 北,满五年唯一的平层四居，精装修，带电梯，随时签约,低楼层(共6层),False,True,精装,False,191.51
39,定慧寺,95653,水文大院 ,360,1992,板楼,660,1,3,北 南,水文社区 三层南北通透3居 不临街 无遮挡 有钥匙,中楼层(共6层),False,True,简装,True,69
56,田村,51489,绿谷雅园 ,360,2004,板楼,550,1,2,南 北,绿谷雅园两居室 满五年唯一商品房 装修保持好,中楼层(共5层),False,True,精装,False,106.82
23,学院路,83094,建清园 ,360,1998,板楼,750,1,3,南 北,建清园正规三居室南北通透客厅朝东三面采光诚意出售,低楼层(共7层),False,True,简装,False,90.26
41,苏州桥,102245,稻香园西里 ,360,1990,板塔结合,820,1,3,南 北,稻香园西里带电梯高板楼全明格局,高楼层(共14层),False,True,其他,True,80.2
28,西三旗,54670,建材城东二里 ,7,2002,板楼,401,1,2,南 北,硅谷小区2002年的商品房装修好，南北通透不临街,顶层(共5层),True,False,精装,False,73.35
10,皂君庙,82015,青年公寓 ,6,1992,板塔结合,342,0,1,北,农科院，北三环西路，双安青年公寓,中楼层(共17层),False,True,简装,False,41.7
14,学院路,76422,清枫华景园 ,6,2005,塔楼,410,1,1,东,清枫华景园 满五年唯一 东向一居室 看房随时,中楼层(共15层),False,True,简装,False,53.65
14,五道口,114325,华清嘉园 ,5,2000,塔楼,850,1,2,东南,华清嘉园 2室1厅 850万,高楼层(共18层),False,True,其他,True,74.35
8,定慧寺,112304,西三环北路105号院 ,3,2001,板塔结合,900,1,2,南 北,花园桥 2001年楼龄新 带电梯 南北通透两居室,低楼层(共18层),False,True,精装,True,80.14
27,万柳,130895,碧水云天 ,8,2004,塔楼,1610,1,3,西南,眼镜户型三居，满五唯一，位置好，带车位，稳定卖,底层(共16层),False,True,精装,False,123
15,公主坟,102904,普惠南里 ,8,1986,塔楼,886,1,3,西南,普惠南里 西南朝向三居 有客厅 高层采光好,高楼层(共16层),True,False,精装,False,86.1
7,五棵松,71529,今日家园 ,6,2000,塔楼,919,1,3,东南,满五年可唯一，转商，高楼层，采光好，视野佳,高楼层(共18层),False,True,简装,False,128.48
27,五棵松,100827,金沟河路15号院 ,6,1992,板楼,610,1,3,南 北,金沟河路15号院 3室1厅 610万,低楼层(共6层),False,True,简装,False,60.5
5,世纪城,86166,时雨园 ,6,2005,塔楼,1430,2,3,西南,时雨园大三居 明厨明卫 精装修,低楼层(共19层),False,True,精装,True,165.96
6,五道口,98783,西王庄小区 ,5,1987,板楼,568,1,2,南 北,"央产房满五年,小区中间把西边南北通透全明格局,低楼层",低楼层(共6层),False,True,简装,True,57.5
8,甘家口,121528,建设部大院 ,5,1994,塔楼,1050,1,3,南 北,满五年家庭名下唯一住房 中间位置  精装自住 随时看房,低楼层(共18层),False,True,精装,True,86.4
18,马连洼,76045,菊园 ,5,1995,板楼,646,1,3,东 南 北,满五年且家庭名下唯一住房，南北朝向,中楼层(共6层),False,True,精装,False,84.95
12,上地,110116,上地东里 ,4,1997,板楼,860,1,3,东 西 北,满五年 商品房 低楼层 三居 三面采光,底层(共6层),False,True,精装,True,78.1
15,中关村,121380,科育小区 ,4,1981,板楼,880,1,3,南 北,科育小区南北通透三居室，双阳台,底层(共6层),False,True,简装,False,72.5
7,学院路,89941,半导体宿舍 ,4,1982,板楼,608,1,3,东南 北,中科院半导体宿舍 精装小3居 低楼层 环境好 诚意卖,中楼层(共5层),False,True,精装,False,67.6
34,知春路,89778,罗庄西里 ,3,1998,板楼,815,1,3,南 北,罗庄西里 南北向三居室 很少出的户型 满五唯一,中楼层(共9层),False,True,简装,True,90.78
6,四季青,79736,望塔园 ,9,2000,塔楼,650,1,2,西南,曙光花园望塔园 近地铁  临公园西南向两居室,低楼层(共17层),False,True,简装,True,81.52
191,公主坟,94781,翠微北里 ,360,1988,塔楼,799,1,3,东 南 北,三居室带客厅  东南北东三面采光 有电梯 安静不临街,高楼层(共24层),False,True,简装,False,84.3
68,五道口,111186,中关村北一条 ,360,2002,板楼,1160,2,3,南 北,自动化所职工福利房 诚意出售 随时签约,低楼层(共6层),False,True,简装,False,104.33
33,玉泉路,82727,玉海园五里 ,360,1998,板楼,375,1,1,南,玉泉路、五棵松、玉海园五里中间层一居室、诚心出售。,中楼层(共6层),False,True,精装,False,45.33
24,万柳,132228,碧水云天 ,360,2003,塔楼,1530,1,3,东北,碧水云天三居带明卫，朝小区花园，视野开阔，采光好,中楼层(共16层),False,True,简装,False,115.71
48,定慧寺,90295,八里庄北里 ,360,1997,板塔结合,868,1,3,南 北,慈寿寺地铁八里庄北里南北三居 有电梯,高楼层(共9层),False,True,简装,True,96.13
55,颐和园,71077,骚子营 ,360,1999,板楼,591,1,3,南 北,颐和园附近三居室 采光好 视野好 安静舒适,中楼层(共6层),True,False,精装,True,83.15
32,皂君庙,115959,农科院 ,360,2002,塔楼,1260,1,3,南 西,农科院社区高层带电梯三居室出售,低楼层(共24层),False,True,精装,False,108.66
20,小西天,97094,文慧园北路4号院 ,360,1999,板塔结合,835,1,2,南 北,带电梯 南北通透 中间楼层 没有遮挡 视野采光好,中楼层(共14层),False,True,简装,False,86
33,定慧寺,86112,八里庄北里 ,360,1995,板楼,465,1,2,南 北,定慧寺慈寿寺地铁，玲珑公园旁，满五年南北两居,顶层(共6层),False,True,简装,False,54
19,四季青,87924,美丽西园 ,360,1998,板楼,830,1,3,西南 北,海淀六号线五路居美丽西园三居室一梯两户中间楼层,中楼层(共6层),True,False,简装,True,94.4
61,五棵松,70881,今日家园 ,360,2001,塔楼,758,1,3,南,今日家园正规南向小三居 高楼层采光好 满五年唯一,低楼层(共24层),False,True,简装,False,106.94
153,杨庄,43146,建西苑南里 ,150,1999,板楼,620,2,5,南 北,海淀建西苑南北五居室商品房不临街单价4.28万,高楼层(共7层),False,True,简装,False,143.7
23,万柳,142047,万泉新新家园 ,120,2001,板楼,3380,2,4,南 北,万柳 万泉新新家园+双卧南向四居室+有双车位+1储物间,高楼层(共6层),False,True,精装,True,237.95
29,北太平庄,89172,黄亭子小区 ,360,1990,塔楼,560,1,2,南 北,黄亭子小区，精装，高楼层两居室,高楼层(共18层),True,False,精装,True,62.8
33,清河,71648,清缘东里 ,360,2003,板楼,608,1,2,南 北,清缘东里 南北两居 满五唯一 不临街不把边 婚房装修,中楼层(共10层),False,True,精装,True,84.86
17,定慧寺,97743,北洼路50号院 ,360,1996,板楼,355,1,1,东,北洼路低总价一居室 低楼层无遮挡 有钥匙随时看房,低楼层(共6层),False,True,简装,True,36.32
